cluster_code,programme_name,requirements
13B,Bachelor of Science (Physical Therapy),BIO - C+ CHE - C+ MAT ALTERNATIVE A/PHY - C+ ENG/KIS - C+
13B,Bachelor of Science (Medical Laboratory),BIO - C+ CHE - C+ MAT ALTERNATIVE A/PHY - C+ ENG/KIS - C+
13B,Bachelor of Physiotherapy,BIO - C+ CHE - C+ MAT ALTERNATIVE A/PHY - C+ ENG/KIS - C+
13B,Bachelor of Science in Medical Laboratory Sciences,BIO - C+ CHE - C+ MAT ALTERNATIVE A/PHY - C+ ENG/KIS - C+
13B,Bachelor of Science in Physiotherapy,BIO - C+ CHE - C+ MAT ALTERNATIVE A/PHY - C+ ENG/KIS - C+
13B,Bachelor of Technology (Medical Laboratory Science),BIO - C+ CHE - C+ MAT ALTERNATIVE A/PHY - C+ ENG/KIS - C+
13B,"Bachelor of Science (Public Health, With IT)",BIO - C+ CHE - C+ MAT ALTERNATIVE A/PHY - C+ ENG/KIS - C+
13B,Bachelor of Science in Clinical Medicine and Community Health,BIO - C+ CHE - C+ MAT ALTERNATIVE A/PHY - C+ ENG/KIS - C+
13B,Bachelor of Science in Public Health,BIO - C+ CHE - C+ MAT ALTERNATIVE A/PHY - C+ ENG/KIS - C+
13B,Bachelor of Science Clinical Medicine,BIO - C+ CHE - C+ MAT ALTERNATIVE A/PHY - C+ ENG/KIS - C+
13B,Bachelor of Science (Public Health),BIO - C+ CHE - C+ MAT ALTERNATIVE A/PHY - C+ ENG/KIS - C+
13B,"Bachelor of Science in Clinical Medicine, Surgery and Community Health",BIO - C+ CHE - C+ MAT ALTERNATIVE A/PHY - C+ ENG/KIS - C+
13B,Bachelor of Science in Public Health,BIO - C+ CHE - C+ MAT ALTERNATIVE A/PHY - C+ ENG/KIS - C+
13B,Bachelor of Science in Midwifery with Reproductive Health,BIO - C+ CHE - C+ MAT ALTERNATIVE A/PHY - C+ ENG/KIS - C+
13C,Bachelor of Technology (Community and Public Health),BIO - C (PLAIN) CHE - C (PLAIN) MAT ALTERNATIVE A/PHY - C (PLAIN) ENG/KIS - C (PLAIN)
13C,Bachelor of Science (Occupational Health & Safety),BIO - C (PLAIN) CHE - C (PLAIN) MAT ALTERNATIVE A/PHY - C (PLAIN) ENG/KIS - C (PLAIN)
13C,Bachelor of Science in Occupational Therapy,BIO - C (PLAIN) CHE - C (PLAIN) MAT ALTERNATIVE A/PHY - C (PLAIN) ENG/KIS - C (PLAIN)
13C,Bachelor of Population Health,BIO - C (PLAIN) CHE - C (PLAIN) MAT ALTERNATIVE A/PHY - C (PLAIN) ENG/KIS - C (PLAIN)
